,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
1911,153774,Amadou M'Bagnick M'Baye,M,24.0,188.0,75.0,Senegal,SEN,1988 Summer,1988,Seoul,Athletics,100 meters,nan
1912,153797,Martial Mbandjock,M,22.0,187.0,84.0,France,FRA,2008 Summer,2008,Beijing,Athletics,100 meters,nan
1913,153808,Charles Mbazira,M,26.0,167.0,60.0,Uganda,UGA,1984 Summer,1984,Los Angeles,Athletics,100 meters,nan
1914,153845,"Robert Francis ""Bob"" McAllister",M,28.0,170.0,71.0,United States,USA,1928 Summer,1928,Amsterdam,Athletics,100 meters,nan
1915,154040,Paul McCloy,M,24.0,187.0,70.0,Canada,CAN,1988 Summer,1988,Seoul,Athletics,"10,000 meters",nan
1916,154063,"Elizabeth ""Liz"" McColgan (Lynch-, -Nuttall)",F,24.0,170.0,45.0,Great Britain,GBR,1988 Summer,1988,Seoul,Athletics,"10,000 meters",Silver
1917,154064,"Elizabeth ""Liz"" McColgan (Lynch-, -Nuttall)",F,28.0,170.0,45.0,Great Britain,GBR,1992 Summer,1992,Barcelona,Athletics,"10,000 meters",nan
1918,154138,Alastair McCorquodale,M,22.0,183.0,78.0,Great Britain,GBR,1948 Summer,1948,London,Athletics,100 meters,nan
1919,154191,"Raymond Christopher ""Chris"" McCubbins",M,30.0,183.0,69.0,Canada,CAN,1976 Summer,1976,Montreal,Athletics,"10,000 meters",nan
1920,154257,Beverly McDonald (-Stewart),F,26.0,169.0,59.0,Jamaica,JAM,1996 Summer,1996,Atlanta,Athletics,100 meters,nan
1921,154259,Beverly McDonald (-Stewart),F,30.0,169.0,59.0,Jamaica,JAM,2000 Summer,2000,Sydney,Athletics,100 meters,nan
1922,154414,"James Donald ""Don"" McFarlane",M,21.0,173.0,68.0,Canada,CAN,1952 Summer,1952,Helsinki,Athletics,100 meters,nan
1923,154419,"Michael Anthony ""Mike"" McFarlane",M,24.0,178.0,74.0,Great Britain,GBR,1984 Summer,1984,Los Angeles,Athletics,100 meters,nan
1924,154547,Haley Louise McGregor,F,25.0,160.0,46.0,Australia,AUS,2004 Summer,2004,Athina,Athletics,"10,000 meters",nan
1925,154572,Edith Marie McGuire (-Duvall),F,20.0,173.0,59.0,United States,USA,1964 Summer,1964,Tokyo,Athletics,100 meters,Silver
1926,154617,Avis McIntosh (-Brain),F,26.0,166.0,57.0,New Zealand,NZL,1964 Summer,1964,Tokyo,Athletics,100 meters,nan
1927,154740,"Herbert Henry ""Herb"" McKenley",M,30.0,185.0,72.0,Jamaica,JAM,1952 Summer,1952,Helsinki,Athletics,100 meters,Silver
1928,154767,Eleanor McKenzie (-Miller),F,21.0,170.0,62.0,Canada,CAN,1952 Summer,1952,Helsinki,Athletics,100 meters,nan
1929,154774,Gordon Edmund McKenzie,M,29.0,172.0,61.0,United States,USA,1956 Summer,1956,Melbourne,Athletics,"10,000 meters",nan
1930,154897,Catherina McKiernp.nan,F,26.0,165.0,48.0,Ireland,IRL,1996 Summer,1996,Atlanta,Athletics,"10,000 meters",nan
1931,155040,"Michael James ""Mike"" McLeod",M,28.0,180.0,63.0,Great Britain,GBR,1980 Summer,1980,Moskva,Athletics,"10,000 meters",nan
1932,155041,"Michael James ""Mike"" McLeod",M,32.0,180.0,63.0,Great Britain,GBR,1984 Summer,1984,Los Angeles,Athletics,"10,000 meters",Silver
1933,155042,"Michael James ""Mike"" McLeod",M,36.0,180.0,63.0,Great Britain,GBR,1988 Summer,1988,Seoul,Athletics,"10,000 meters",nan
1934,155091,Marie McMahon-Davenport,F,29.0,165.0,52.0,Ireland,IRL,2004 Summer,2004,Athina,Athletics,"10,000 meters",nan
1935,155098,"Andrew Emlyn ""Drew"" McMaster",M,23.0,166.0,68.0,Great Britain,GBR,1980 Summer,1980,Moskva,Athletics,100 meters,nan
1936,155110,Christine Maree McMiken,F,25.0,165.0,47.0,New Zealand,NZL,1988 Summer,1988,Seoul,Athletics,"10,000 meters",nan
1937,155208,Pablo S. McNeil,M,25.0,180.0,75.0,Jamaica,JAM,1964 Summer,1964,Tokyo,Athletics,100 meters,nan
