,Country,GDP_per_cap,Life_exp,Unemployment,Continent
167,The former Yugoslav Republic of Macedonia,4836.1,77.2,27.3,SouthernEurope
168,Timor-Leste,2425.4,69.5,4.3,South-easternAsia
169,Togo,559.4,59.8,6.8,WesternAfrica
170,Tonga,3784.5,75.6,4.8,Polynesia
171,Trinidad and Tobago,19062.9,73.8,4.2,Caribbean
172,Tunisia,3660.9,77.1,14.6,NorthernAfrica
173,Turkey,9125.8,78.1,10.8,WesternAsia
174,Turkmenistan,6996.7,70.8,8.6,CentralAsia
175,Uganda,647.7,60.7,2.4,EasternAfrica
176,Ukraine,2021.6,76.0,8.8,EasternEurope
177,United Arab Emirates,40438.8,78.2,3.7,WesternAsia
178,United Kingdom,44162.4,82.8,5.0,NorthernEurope
179,United Republic of Tanzania,877.3,64.8,2.7,EasternAfrica
180,United States of America,56053.8,81.2,4.9,NorthernAmerica
181,Uruguay,15573.8,80.4,8.8,SouthAmerica
182,Uzbekistan,2308.3,73.5,8.9,CentralAsia
183,Vanuatu,2783.0,73.6,5.3,Melanesia
184,Venezuela (Bolivarian Republic of),11068.9,78.2,6.6,SouthAmerica
185,Viet Nam,2067.9,80.3,2.2,South-easternAsia
186,Yemen,1106.4,65.6,16.1,WesternAsia
187,Zambia,1311.1,61.9,7.4,EasternAfrica
188,Zimbabwe,890.4,59.0,5.0,EasternAfrica
